Millis,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z
2289749,0.62,0.11,-0.77,-0.01,1.13,-9.77,-2.04
2289782,0.62,0.10,-0.78,-0.00,1.03,-9.87,-1.92
2289814,0.62,0.10,-0.78,0.00,0.92,-9.82,-1.81
2289846,0.62,0.09,-0.78,0.01,0.92,-9.80,-1.76
2289878,0.62,0.09,-0.78,0.02,1.06,-9.58,-1.68
2289910,0.62,0.08,-0.78,0.02,1.02,-9.41,-1.69
2289942,0.61,0.08,-0.78,0.02,0.78,-9.51,-1.78
2289975,0.61,0.08,-0.78,0.03,0.60,-9.98,-1.78
2290008,0.61,0.08,-0.78,0.03,0.56,-9.80,-1.86
2290040,0.61,0.07,-0.78,0.04,0.44,-9.93,-1.83
2290072,0.61,0.07,-0.78,0.04,0.52,-10.06,-1.81
2290105,0.61,0.07,-0.78,0.05,0.45,-10.13,-1.67
2290137,0.61,0.07,-0.78,0.05,0.62,-9.86,-1.46
2290169,0.61,0.07,-0.78,0.06,0.75,-9.93,-1.24
2290202,0.61,0.07,-0.78,0.07,0.73,-9.74,-1.10
2290235,0.62,0.07,-0.78,0.07,0.75,-9.51,-0.98
2290268,0.62,0.07,-0.78,0.07,0.79,-9.48,-0.93
2290301,0.62,0.07,-0.77,0.08,1.02,-9.73,-0.92
2290334,0.63,0.08,-0.77,0.08,1.23,-9.95,-0.78
2290367,0.64,0.08,-0.76,0.08,1.50,-9.93,-0.75
2290400,0.64,0.08,-0.76,0.08,1.75,-9.64,-0.76
2290433,0.64,0.08,-0.75,0.08,1.59,-9.54,-0.71
2290466,0.65,0.09,-0.75,0.09,1.36,-10.04,-0.76
2290499,0.65,0.09,-0.75,0.09,1.50,-10.02,-0.84
2290532,0.66,0.08,-0.74,0.08,1.58,-10.04,-1.09
2290565,0.66,0.08,-0.74,0.08,1.79,-10.34,-1.18
2290598,0.67,0.08,-0.73,0.09,1.89,-10.16,-1.16
2290631,0.67,0.07,-0.73,0.09,1.99,-9.85,-1.09
2290664,0.67,0.07,-0.73,0.09,1.96,-9.59,-1.08
2290697,0.67,0.07,-0.73,0.10,1.83,-9.85,-1.01
2290730,0.67,0.06,-0.73,0.10,1.83,-9.85,-0.93
2290762,0.67,0.06,-0.74,0.10,1.76,-9.98,-0.85
2290794,0.67,0.06,-0.74,0.10,1.71,-9.94,-0.83
2290826,0.67,0.06,-0.74,0.10,1.70,-9.82,-0.96
2290858,0.66,0.06,-0.74,0.10,1.59,-9.69,-1.11
2290890,0.66,0.06,-0.74,0.10,1.16,-9.73,-1.26
2290923,0.66,0.06,-0.74,0.10,1.01,-10.15,-1.26
2290955,0.66,0.06,-0.74,0.10,0.83,-10.37,-1.09
2290987,0.66,0.06,-0.74,0.10,0.86,-9.93,-1.02
2291019,0.66,0.06,-0.74,0.10,0.95,-9.85,-1.00
2291051,0.66,0.07,-0.74,0.11,0.95,-9.94,-0.89
2291083,0.66,0.07,-0.74,0.11,1.18,-10.10,-0.80
2291115,0.66,0.07,-0.74,0.11,1.29,-10.35,-0.67
2291148,0.65,0.08,-0.74,0.11,1.42,-9.63,-0.54
2291180,0.65,0.09,-0.74,0.11,1.22,-9.37,-0.44
2291212,0.66,0.09,-0.74,0.10,0.92,-9.69,-0.42
2291244,0.66,0.09,-0.73,0.10,0.49,-9.95,-0.44
2291276,0.67,0.09,-0.73,0.10,0.08,-9.75,-0.48
2291308,0.68,0.09,-0.72,0.10,0.35,-9.71,-0.52
2291341,0.68,0.08,-0.72,0.11,1.00,-9.69,-0.56
2291374,0.68,0.07,-0.72,0.11,1.62,-9.84,-0.58
